current_path,proposed_release_path,workflow,status,tracked_in_initial_repository,file_size_bytes,generating_script,manuscript_use,zenodo_recommendation,recommendation_reason,dependencies,hard_coded_path_risk
code/out_cmdstanr/m_stir_mogp_v2p1-202606132258-4-63793b.csv,code/bayes/m_stir_mogp_v2p1-202606132258-4-63793b.csv,Bayes,final,False,1307788766,See workflow documentation,Bayes methods/results support,exclude,Large local CmdStan/fit object is not essential to the saved-draw release route.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/stir-bayes-backend.R,code/bayes/stir-bayes-backend.R,Bayes,active,True,16706,See workflow documentation,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",R; R Markdown; CmdStanR/CmdStan as applicable; see Bayesian workflow,high: update relative input/output references before moving
code/stir-bayes-load1p8.Rmd,code/bayes/stir-bayes-load1p8.Rmd,Bayes,active,True,151599,See workflow documentation,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",R; R Markdown; CmdStanR/CmdStan as applicable; see Bayesian workflow,high: update relative input/output references before moving
code/stir-bayes-load1p8_nonneg.Rmd,code/bayes/stir-bayes-load1p8_nonneg.Rmd,Bayes,active,True,162617,See workflow documentation,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",R; R Markdown; CmdStanR/CmdStan as applicable; see Bayesian workflow,high: update relative input/output references before moving
code/stir-bayes-load2p1_nonneg.Rmd,code/bayes/stir-bayes-load2p1_nonneg.Rmd,Bayes,active,True,197733,See workflow documentation,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",R; R Markdown; CmdStanR/CmdStan as applicable; see Bayesian workflow,high: update relative input/output references before moving
code/stir_bayes_backend.py,code/bayes/stir_bayes_backend.py,Bayes,active,True,12234,See workflow documentation,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Python; see workflow README and environment metadata,high: update relative input/output references before moving
docs/Bayes results summary 20 Feb 2026.pdf,docs/Bayes results summary 20 Feb 2026.pdf,Bayes,diagnostic,True,4316519,Manually maintained documentation/metadata,Bayes methods/results support,exclude,Meeting/presentation artifact is redundant with release tables and documentation.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
docs/Bayes results summary 20 Feb 2026.pptx,docs/Bayes results summary 20 Feb 2026.pptx,Bayes,diagnostic,True,53435164,Manually maintained documentation/metadata,Bayes methods/results support,exclude,Meeting/presentation artifact is redundant with release tables and documentation.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
docs/bayes-model_versions.md,docs/bayes-model_versions.md,Bayes,active,True,7307,Manually maintained documentation/metadata,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,medium: update links and documented commands after moving
docs/README_bayes_methods.md,docs/methods/README_bayes_methods.md,Bayes,active,True,9474,Manually maintained documentation/metadata,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,medium: update links and documented commands after moving
docs/README_bayes_methods_v2p1_notes.md,docs/methods/README_bayes_methods_v2p1_notes.md,Bayes,final,True,5152,Manually maintained documentation/metadata,Bayes methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,medium: update links and documented commands after moving
docs/workflows/bayes.md,docs/reproducibility/bayes.md,Bayes,active,False,1862,Manually maintained documentation/metadata,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,medium: update links and documented commands after moving
figs/old_bayes_figs/1p6_post_STIR_effect_on_volume.jpeg,figures/legacy/1p6_post_STIR_effect_on_volume.jpeg,Bayes,active,True,104492,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/1p7_post_STIR_effect_on_volume.jpeg,figures/legacy/1p7_post_STIR_effect_on_volume.jpeg,Bayes,active,True,105820,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/1p7p1_post_STIR_effect_on_volume.jpg,figures/legacy/1p7p1_post_STIR_effect_on_volume.jpg,Bayes,active,True,103908,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/1p7p4_post_STIR_effect_on_volume.jpg,figures/legacy/1p7p4_post_STIR_effect_on_volume.jpg,Bayes,active,True,103897,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/analyte_persistence_precis_v1p6.jpeg,figures/legacy/analyte_persistence_precis_v1p6.jpeg,Bayes,superseded,True,1038739,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/analyte_persistence_precis_v1p7.jpeg,figures/legacy/analyte_persistence_precis_v1p7.jpeg,Bayes,superseded,True,1015736,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/analyte_persistence_precis_v1p7p1.jpeg,figures/legacy/analyte_persistence_precis_v1p7p1.jpeg,Bayes,superseded,True,1058865,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/analyte_persistence_precis_v1p7p4.jpeg,figures/legacy/analyte_persistence_precis_v1p7p4.jpeg,Bayes,superseded,True,1057588,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/analyte_persistence_precis_v1p7p5.jpeg,figures/legacy/analyte_persistence_precis_v1p7p5.jpeg,Bayes,superseded,True,1043151,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/analyte_persistence_precis_v1p8.jpeg,figures/legacy/analyte_persistence_precis_v1p8.jpeg,Bayes,superseded,True,1028640,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/annual_volume_obs_vs_modeled_v1p7p5.jpg,figures/legacy/annual_volume_obs_vs_modeled_v1p7p5.jpg,Bayes,superseded,True,640264,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/annual_volume_obs_vs_modeled_v1p8.jpg,figures/legacy/annual_volume_obs_vs_modeled_v1p8.jpg,Bayes,superseded,True,635314,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/cmdstan_dashboard_v1p9.png,figures/legacy/cmdstan_dashboard_v1p9.png,Bayes,superseded,True,55438,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/cmdstan_dashboard_v2p0.png,figures/legacy/cmdstan_dashboard_v2p0.png,Bayes,active,True,62432,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/convergence_dashbaord_1p7p1.jpg,figures/legacy/convergence_dashbaord_1p7p1.jpg,Bayes,active,True,25958,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/convergence_dashbaord_1p7p2.jpg,figures/legacy/convergence_dashbaord_1p7p2.jpg,Bayes,active,True,67575,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/convergence_dashbaord_1p7p3.jpg,figures/legacy/convergence_dashbaord_1p7p3.jpg,Bayes,active,True,23208,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/convergence_dashbaord_1p7p4.jpg,figures/legacy/convergence_dashbaord_1p7p4.jpg,Bayes,active,True,29786,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/convergence_dashbaord_1p7p5.jpg,figures/legacy/convergence_dashbaord_1p7p5.jpg,Bayes,active,True,113827,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/convergence_dashbaord_1p8.jpg,figures/legacy/convergence_dashbaord_1p8.jpg,Bayes,active,True,98988,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/convergence_dashbaord_1p8_nonneg.jpg,figures/legacy/convergence_dashbaord_1p8_nonneg.jpg,Bayes,active,True,17888,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/crop_effects_on_concentration_by_analyte_v1p7p1.jpg,figures/legacy/crop_effects_on_concentration_by_analyte_v1p7p1.jpg,Bayes,superseded,True,963750,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/crop_effects_on_concentration_by_analyte_v1p7p4.jpg,figures/legacy/crop_effects_on_concentration_by_analyte_v1p7p4.jpg,Bayes,superseded,True,1081559,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/crop_effects_on_concentration_by_analyte_v1p7p5.jpg,figures/legacy/crop_effects_on_concentration_by_analyte_v1p7p5.jpg,Bayes,superseded,True,1062005,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/crop_effects_on_concentration_by_analyte_v1p8.jpg,figures/legacy/crop_effects_on_concentration_by_analyte_v1p8.jpg,Bayes,superseded,True,1109006,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/crop_effects_on_concentration_heatmap_v1p7.png,figures/legacy/crop_effects_on_concentration_heatmap_v1p7.png,Bayes,superseded,True,112286,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/crop_effects_on_concentration_heatmap_v1p7p1.png,figures/legacy/crop_effects_on_concentration_heatmap_v1p7p1.png,Bayes,superseded,True,108712,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/crop_effects_on_volume_v1p7.png,figures/legacy/crop_effects_on_volume_v1p7.png,Bayes,superseded,True,83139,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/crop_effects_on_volume_v1p7p1.jpg,figures/legacy/crop_effects_on_volume_v1p7p1.jpg,Bayes,superseded,True,415227,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/crop_effects_on_volume_v1p7p4.jpg,figures/legacy/crop_effects_on_volume_v1p7p4.jpg,Bayes,superseded,True,442849,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/crop_effects_on_volume_v1p7p5.jpg,figures/legacy/crop_effects_on_volume_v1p7p5.jpg,Bayes,superseded,True,422503,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/crop_effects_on_volume_v1p8.jpg,figures/legacy/crop_effects_on_volume_v1p8.jpg,Bayes,superseded,True,417905,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/irr_effects_on_concentration_v1p7p5.jpg,figures/legacy/irr_effects_on_concentration_v1p7p5.jpg,Bayes,superseded,True,508812,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/irr_effects_on_concentration_v1p8.jpg,figures/legacy/irr_effects_on_concentration_v1p8.jpg,Bayes,superseded,True,531233,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/load1p6_STIR_load_curves.jpeg,figures/legacy/load1p6_STIR_load_curves.jpeg,Bayes,active,True,1700577,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/load1p6_STIReffects.jpeg,figures/legacy/load1p6_STIReffects.jpeg,Bayes,active,True,127248,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/load1p7_STIR_load_curves.jpeg,figures/legacy/load1p7_STIR_load_curves.jpeg,Bayes,active,True,1662503,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/load1p7_STIReffects.jpeg,figures/legacy/load1p7_STIReffects.jpeg,Bayes,active,True,138642,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/load1p7p1_STIR_load_curves.jpeg,figures/legacy/load1p7p1_STIR_load_curves.jpeg,Bayes,active,True,1551847,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/load1p7p1_STIReffects.jpeg,figures/legacy/load1p7p1_STIReffects.jpeg,Bayes,active,True,700145,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/load1p7p4_STIR_load_curves.jpeg,figures/legacy/load1p7p4_STIR_load_curves.jpeg,Bayes,active,True,1675333,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/load1p7p4_STIReffects.jpeg,figures/legacy/load1p7p4_STIReffects.jpeg,Bayes,active,True,680122,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/load1p7p5_STIR_load_curves.jpeg,figures/legacy/load1p7p5_STIR_load_curves.jpeg,Bayes,active,True,1678209,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/load1p7p5_STIR_load_curves2023.jpeg,figures/legacy/load1p7p5_STIR_load_curves2023.jpeg,Bayes,active,True,1461982,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/load1p7p5_STIReffects.jpeg,figures/legacy/load1p7p5_STIReffects.jpeg,Bayes,active,True,704173,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/load1p8_STIR_load_curves.jpeg,figures/legacy/load1p8_STIR_load_curves.jpeg,Bayes,active,True,1752319,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/load1p8_STIReffects.jpeg,figures/legacy/load1p8_STIReffects.jpeg,Bayes,active,True,705638,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or redundant figure version.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/residue_effect_on_concentration_by_analyte_v1p7.png,figures/legacy/residue_effect_on_concentration_by_analyte_v1p7.png,Bayes,superseded,True,101690,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/residue_effect_on_concentration_by_analyte_v1p7p1.jpg,figures/legacy/residue_effect_on_concentration_by_analyte_v1p7p1.jpg,Bayes,superseded,True,558874,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/residue_effect_on_concentration_by_analyte_v1p7p4.jpg,figures/legacy/residue_effect_on_concentration_by_analyte_v1p7p4.jpg,Bayes,superseded,True,565470,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/residue_effect_on_concentration_by_analyte_v1p7p5.jpg,figures/legacy/residue_effect_on_concentration_by_analyte_v1p7p5.jpg,Bayes,superseded,True,545482,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
figs/old_bayes_figs/residue_effect_on_concentration_by_analyte_v1p8.jpg,figures/legacy/residue_effect_on_concentration_by_analyte_v1p8.jpg,Bayes,superseded,True,549853,code/stir-bayes-load2p1_nonneg.Rmd,Candidate figure or diagnostic visual,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
